T(K),rho(g/cc),P(kbar),Perr(kbar)
5000,0.40,0.222,0.275
5000,0.50,0.203,0.374
5000,0.60,-0.076,0.439
5000,0.70,-0.099,0.511
5000,0.80,-0.214,0.610
5000,0.90,-0.618,0.670
5000,1.00,-0.884,0.724
5000,1.10,-1.297,0.838
5000,1.20,-1.940,0.892
5000,1.30,-2.349,0.927
5000,1.40,-0.389,0.976
5500,0.40,0.487,0.278
5500,0.50,0.348,0.359
5500,0.60,0.256,0.433
5500,0.70,0.176,0.536
5500,0.80,0.038,0.582
5500,0.90,-0.254,0.659
5500,1.00,-0.545,0.762
5500,1.10,-1.088,0.814
5500,1.20,-0.622,0.850
5500,1.30,0.905,0.945
5500,1.40,3.723,0.989
6000,0.40,0.851,0.269
6000,0.50,0.807,0.351
6000,0.60,0.726,0.427
6000,0.70,0.646,0.499
6000,0.80,0.493,0.591
6000,0.90,0.423,0.658
6000,1.00,0.484,0.734
6000,1.10,0.992,0.805
6000,1.20,2.234,0.874
6000,1.30,4.479,0.954
6000,1.40,8.036,1.027
6500,0.40,1.412,0.262
6500,0.50,1.423,0.344
6500,0.60,1.438,0.422
6500,0.70,1.430,0.493
6500,0.80,1.508,0.587
6500,0.90,1.757,0.656
6500,1.00,2.281,0.757
6500,1.10,3.312,0.844
6500,1.20,5.173,0.965
6500,1.30,8.047,1.021
6500,1.40,12.272,1.091
7000,0.40,2.021,0.263
7000,0.50,2.156,0.348
7000,0.60,2.279,0.412
7000,0.70,2.473,0.498
7000,0.80,2.771,0.603
7000,0.90,3.378,0.669
7000,1.00,4.289,0.762
7000,1.10,5.841,0.859
7000,1.20,8.219,0.964
7000,1.30,11.665,1.063
7000,1.40,16.489,1.114
7500,0.40,2.661,0.270
7500,0.50,2.910,0.348
7500,0.60,3.230,0.440
7500,0.70,3.611,0.519
7500,0.80,4.176,0.598
7500,0.90,5.075,0.719
7500,1.00,6.434,0.788
7500,1.10,8.420,0.887
7500,1.20,11.248,0.994
7500,1.30,15.272,1.093
7500,1.40,20.608,1.188
8000,0.40,3.303,0.278
8000,0.50,3.725,0.348
8000,0.60,4.187,0.436
8000,0.70,4.830,0.547
8000,0.80,5.671,0.636
8000,0.90,6.868,0.713
8000,1.00,8.575,0.823
8000,1.10,11.013,0.934
8000,1.20,14.350,1.034
8000,1.30,18.863,1.075
8000,1.40,24.737,1.178
